operator_id,store_id,access_level,active
OP-DEMO,STR-SYN-001,review_case,1
OP-DEMO,STR-SYN-002,review_case,1
OP-DEMO,STR-SYN-003,review_case,1
OP-DEMO,STR-SYN-004,review_case,1
OP-DEMO,STR-SYN-005,review_case,1
OP-DEMO,STR-SYN-006,review_case,1
OP-DEMO,STR-SYN-007,review_case,1
OP-DEMO,STR-SYN-008,review_case,1
OP-DEMO,STR-SYN-009,review_case,1
OP-DEMO,STR-SYN-010,review_case,1
OP-DEMO,STR-SYN-011,review_case,1
OP-DEMO,STR-SYN-012,review_case,1
OP-DEMO,STR-SYN-013,review_case,1
OP-DEMO,STR-SYN-014,review_case,1
OP-DEMO,STR-SYN-015,review_case,1
OP-DEMO,STR-SYN-016,review_case,1
OP-DEMO,STR-SYN-017,review_case,1
OP-DEMO,STR-SYN-018,review_case,1
OP-DEMO,STR-SYN-019,review_case,1
OP-DEMO,STR-SYN-020,review_case,1
OP-DEMO,STR-SYN-021,review_case,1
OP-DEMO,STR-SYN-022,review_case,1
OP-DEMO,STR-SYN-023,review_case,1
OP-DEMO,STR-SYN-024,review_case,1
OP-DEMO,STR-SYN-025,review_case,1
OP-DEMO,STR-SYN-026,review_case,1
OP-DEMO,STR-SYN-027,review_case,1
OP-DEMO,STR-SYN-028,review_case,1
OP-DEMO,STR-SYN-029,review_case,1
OP-DEMO,STR-SYN-030,review_case,1
OP-DEMO,STR-SYN-031,review_case,1
OP-DEMO,STR-SYN-032,review_case,1
OP-DEMO,STR-SYN-033,review_case,1
OP-DEMO,STR-SYN-034,review_case,1
OP-DEMO,STR-SYN-035,review_case,1
OP-DEMO,STR-SYN-036,review_case,1
OP-DEMO,STR-SYN-037,review_case,1
OP-DEMO,STR-SYN-038,review_case,1
OP-DEMO,STR-SYN-039,review_case,1
OP-DEMO,STR-SYN-040,review_case,1
OP-DEMO,STR-SYN-041,review_case,1
OP-DEMO,STR-SYN-042,review_case,1
OP-DEMO,STR-SYN-043,review_case,1
OP-DEMO,STR-SYN-044,review_case,1
OP-DEMO,STR-SYN-045,review_case,1
OP-DEMO,STR-SYN-046,review_case,1
OP-DEMO,STR-SYN-047,review_case,1
OP-DEMO,STR-SYN-048,review_case,1
OP-DEMO,STR-SYN-049,review_case,1
OP-DEMO,STR-SYN-050,review_case,1
