term,coef,std_error,t_value,p_value,ci_low,ci_high,nobs,r2,outcome,clean_trimmed,washout_months,interpretation_note
const,0.3792139722613658,0.07705530398007612,4.921322124164452,8.596150909604819e-07,0.22818835164263068,0.5302395928801009,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_-3,0.028958377932082682,0.1510997725122273,0.19165070503159964,0.8480158217650872,-0.2671917342640781,0.32510849012824344,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_-2,-0.048885500278213145,0.06933993347686845,-0.7050122177362799,0.48080263287707026,-0.1847892725832785,0.08701827202685222,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_0,0.13468773673499876,0.091767576809314,1.4677050589977936,0.14218435596431425,-0.045173408759769745,0.3145488822297673,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_1,0.10708925712779141,0.08339617991245304,1.2841026680144185,0.1991060346621083,-0.05636425194883929,0.2705427662044221,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_2,0.0845376234841988,0.17305670829160164,0.48849665707123224,0.6251980929994249,-0.25464729205039455,0.42372253901879214,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_3,0.10506438849181032,0.11994442837960043,0.8759422168348019,0.38106144745642945,-0.13002237127845045,0.3401511482620711,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_1_2,-0.9178319310895724,0.11375097468083847,-8.068783003089138,7.100232844891602e-16,-1.1407797446703434,-0.6948841175088014,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_3_4_regime,-0.5481631060466035,0.05749216118375582,-9.534571231277434,1.5050621415658074e-21,-0.6608456713601365,-0.43548054073307035,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_5,-0.3114902333138213,0.10186287841342906,-3.0579366906321006,0.0022286665506361584,-0.5111378063657248,-0.11184266026191783,28,0.8832479894705998,gap_equal_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
const,0.4654552114352198,0.08749307238128604,5.319909322726863,1.0381898355178811e-07,0.2939719406711431,0.6369384821992965,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_-3,0.026763537590567973,0.17345685672764932,0.15429506849988836,0.877377085523015,-0.3132056544671489,0.36673272964828485,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_-2,-0.05676524800234048,0.08297332786714531,-0.6841384992202734,0.49388771310450774,-0.21938998229937892,0.10585948629469796,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_0,0.145992368166144,0.09927677829957161,1.470559084075092,0.14141039603340277,-0.04858654180218394,0.34057127813447197,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_1,0.09956726319794007,0.09191541083175926,1.0832488512746428,0.27869798166811877,-0.08058363165651086,0.279718158052391,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_2,0.08613668991422302,0.19962042442511468,0.43150238840683464,0.6661031163470441,-0.3051121525376015,0.4773855323660475,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
event_3,0.08636130017574269,0.1321125413853193,0.6536949427372032,0.5133083621087582,-0.17257452284554053,0.3452971231970259,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_1_2,-1.0260166364966299,0.12723814000814096,-8.06375066808571,7.398858707592265e-16,-1.275398808372451,-0.7766344646208087,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_3_4_regime,-0.6416057145860383,0.06224520389392598,-10.307713276663353,6.503021752595617e-25,-0.7636040724284856,-0.519607356743591,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_5,-0.3874970096153822,0.11564453540084632,-3.3507593616269253,0.0008059030110045129,-0.6141561340099083,-0.1608378852208561,28,0.880472119762666,gap_synth_main,True,0,"End-centered persistence/carryover relative response, reference event month e=-1."
const,0.3792139722613658,0.07705530398007612,4.921322124164452,8.596150909604819e-07,0.22818835164263068,0.5302395928801009,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
event_-3,0.028958377932082682,0.1510997725122273,0.19165070503159964,0.8480158217650872,-0.2671917342640781,0.32510849012824344,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
event_-2,-0.048885500278213145,0.06933993347686845,-0.7050122177362799,0.48080263287707026,-0.1847892725832785,0.08701827202685222,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
event_0,0.13468773673499876,0.091767576809314,1.4677050589977936,0.14218435596431425,-0.045173408759769745,0.3145488822297673,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
event_1,0.10708925712779141,0.08339617991245304,1.2841026680144185,0.1991060346621083,-0.05636425194883929,0.2705427662044221,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
event_2,0.0845376234841988,0.17305670829160164,0.48849665707123224,0.6251980929994249,-0.25464729205039455,0.42372253901879214,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
event_3,0.10506438849181032,0.11994442837960043,0.8759422168348019,0.38106144745642945,-0.13002237127845045,0.3401511482620711,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_1_2,-0.9178319310895724,0.11375097468083847,-8.068783003089138,7.100232844891602e-16,-1.1407797446703434,-0.6948841175088014,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
block_phase_3_4_regime,-0.5481631060466035,0.05749216118375582,-9.534571231277434,1.5050621415658074e-21,-0.6608456713601365,-0.43548054073307035,28,0.8832479894705998,gap_equal_main,True,1,"End-centered persistence/carryover relative response, reference event month e=-1."
