category,method,outcome_name,outcome_col,spec,controls_requested,controls_used,coef_log_price,std_error,t_stat,p_value,n_obs,n_store_upc_clusters,n_weeks,first_stage_coef,first_stage_se,first_stage_t,first_stage_t2,cluster_type,fixed_effects
canned_soup,FE-IV,own_sales,y_own_log_sales,A_none,none,none,-0.2243711233433627,0.03610620265353892,-6.214198859302396,5.158715676856218e-10,6862202,32693,378,0.5370001217363348,0.005743343458596061,93.49956616865857,8742.168873727363,one-way,store_upc_id + week
canned_soup,FE-IV,own_sales,y_own_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,-0.2846718385986785,0.035024735856547654,-8.127736916121835,4.440892098500626e-16,6704250,32692,377,0.535261621854699,0.005803128286310133,92.23673774667496,8507.615790148893,one-way,store_upc_id + week
canned_soup,FE-IV,own_sales,y_own_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.3906104642692043,0.03295006863307578,11.85461762216494,0.0,6704250,32692,377,0.4950567592748869,0.0059721262781646895,82.89455651413724,6871.507499675492,one-way,store_upc_id + week
canned_soup,FE-IV,own_sales,y_own_log_sales,D_plus_rival_cost,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean,0.38546921604717854,0.033070986044921126,11.655812606360945,0.0,6704250,32692,377,0.49493308324462604,0.005991518791143503,82.60561311703177,6823.68731844073,one-way,store_upc_id + week
canned_soup,FE-IV,own_sales,y_own_log_sales,E_full_sensitivity,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing + cost_was_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag + rival_log_cost_mean + rival_log_price_mean + rival_deal_rate + price_was_missing,-1.036147212547755,0.023230509939812547,-44.60286129027248,0.0,6704250,32692,377,0.4694316912700889,0.005779751473344717,81.22004785759945,6596.696173990746,one-way,store_upc_id + week
canned_soup,FE-IV,own_sales,y_own_log_sales,A_none,none,none,-0.2243711233433627,0.13873212379245328,-1.6172975458735679,0.1058140687890079,6862202,32693,378,0.5370001217363348,0.021789511411923215,24.64489045139803,607.3706253614098,two-way,store_upc_id + week
canned_soup,FE-IV,own_sales,y_own_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,-0.2846718385986785,0.13616556064341456,-2.09063023905264,0.036561222889596845,6704250,32692,377,0.535261621854699,0.022221647264599333,24.087396198904163,580.2026556429827,two-way,store_upc_id + week
canned_soup,FE-IV,same_mfr_sales,y_same_mfr_log_sales,A_none,none,none,0.40429388296613544,0.049296721449482335,8.201232679955046,2.220446049250313e-16,6862202,32693,378,0.5370001217363348,0.005743343458596061,93.49956616865857,8742.168873727363,one-way,store_upc_id + week
canned_soup,FE-IV,same_mfr_sales,y_same_mfr_log_sales,B_ccount_only,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo,0.10623035029298623,0.030450873670790902,3.4885813603070623,0.000485591016689213,6704250,32692,377,0.535261621854699,0.005803128286310133,92.23673774667496,8507.615790148893,one-way,store_upc_id + week
canned_soup,FE-IV,same_mfr_sales,y_same_mfr_log_sales,C_plus_deal,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + cc_missing + deal_flag,log1p_cc_custcoun + log1p_cc_grocery + log1p_cc_convfood + log1p_cc_bottle + log1p_cc_promo + deal_flag,0.28230696143469264,0.033304086685111464,8.47664624776807,0.0,6704250,32692,377,0.4950567592748869,0.0059721262781646895,82.89455651413724,6871.507499675492,one-way,store_upc_id + week
