customer_id,customer_name_masked,customer_segment,age_band,home_region,created_at,is_synthetic
CUST_0001,고객0001,Cashback_User,30s,군산,2025-01-15,True
CUST_0002,고객0002,Cashback_User,40s,익산,2025-01-15,True
CUST_0003,고객0003,Cashback_User,50s,완주,2025-01-15,True
CUST_0004,고객0004,Cashback_User,20s,전주,2025-01-15,True
CUST_0005,고객0005,Cashback_User,30s,군산,2025-01-15,True
CUST_0012,고객0006,Cashback_User,40s,익산,2025-01-15,True
CUST_0019,고객0007,Cashback_User,50s,완주,2025-01-15,True
CUST_0022,고객0008,Cashback_User,20s,전주,2025-01-15,True
CUST_0023,고객0009,Cashback_User,30s,군산,2025-01-15,True
CUST_0024,고객0010,Cashback_User,40s,익산,2025-01-15,True
CUST_0025,고객0011,Cashback_User,50s,완주,2025-01-15,True
CUST_0026,고객0012,Cashback_User,20s,전주,2025-01-15,True
CUST_0027,고객0013,Cashback_User,30s,군산,2025-01-15,True
CUST_0028,고객0014,Cashback_User,40s,익산,2025-01-15,True
CUST_0029,고객0015,Cashback_User,50s,완주,2025-01-15,True
CUST_0030,고객0016,Cashback_User,20s,전주,2025-01-15,True
CUST_0031,고객0017,Cashback_User,30s,군산,2025-01-15,True
CUST_0061,고객0018,Cashback_User,40s,익산,2025-01-15,True
CUST_0062,고객0019,Cashback_User,50s,완주,2025-01-15,True
CUST_0063,고객0020,Cashback_User,20s,전주,2025-01-15,True
CUST_0064,고객0021,Cashback_User,30s,군산,2025-01-15,True
CUST_0065,고객0022,Cashback_User,40s,익산,2025-01-15,True
CUST_0081,고객0023,Cashback_User,50s,완주,2025-01-15,True
CUST_0082,고객0024,Cashback_User,20s,전주,2025-01-15,True
CUST_0083,고객0025,Cashback_User,30s,군산,2025-01-15,True
CUST_0084,고객0026,Cashback_User,40s,익산,2025-01-15,True
CUST_0085,고객0027,Cashback_User,50s,완주,2025-01-15,True
CUST_0086,고객0028,Cashback_User,20s,전주,2025-01-15,True
CUST_0087,고객0029,Cashback_User,30s,군산,2025-01-15,True
CUST_0088,고객0030,Cashback_User,40s,익산,2025-01-15,True
CUST_0089,고객0031,Cashback_User,50s,완주,2025-01-15,True
CUST_0090,고객0032,Cashback_User,20s,전주,2025-01-15,True
CUST_0101,고객0033,Cashback_User,30s,군산,2025-01-15,True
CUST_0102,고객0034,Cashback_User,40s,익산,2025-01-15,True
CUST_0103,고객0035,Cashback_User,50s,완주,2025-01-15,True
CUST_0231,고객0036,Lifestyle,20s,전주,2025-01-15,True
CUST_0232,고객0037,Lifestyle,30s,군산,2025-01-15,True
CUST_0233,고객0038,Lifestyle,40s,익산,2025-01-15,True
CUST_0241,고객0039,Lifestyle,50s,완주,2025-01-15,True
CUST_0242,고객0040,Lifestyle,20s,전주,2025-01-15,True
CUST_0261,고객0041,Lifestyle,30s,군산,2025-01-15,True
CUST_0341,고객0042,Salary,40s,익산,2025-01-15,True
CUST_0351,고객0043,Salary,50s,완주,2025-01-15,True
CUST_0352,고객0044,Salary,20s,전주,2025-01-15,True
CUST_0361,고객0045,Salary,30s,군산,2025-01-15,True
CUST_0362,고객0046,Salary,40s,익산,2025-01-15,True
CUST_0363,고객0047,Salary,50s,완주,2025-01-15,True
CUST_0381,고객0048,Salary,20s,전주,2025-01-15,True
CUST_UNREPORTED_001,고객0049,Cashback_User,30s,군산,2025-01-15,True
CUST_UNREPORTED_002,고객0050,Cashback_User,40s,익산,2025-01-15,True
CUST_UNREPORTED_003,고객0051,Cashback_User,50s,완주,2025-01-15,True
CUST_UNREPORTED_004,고객0052,Cashback_User,20s,전주,2025-01-15,True
CUST_UNREPORTED_005,고객0053,Cashback_User,30s,군산,2025-01-15,True
CUST_UNREPORTED_006,고객0054,Cashback_User,40s,익산,2025-01-15,True
CUST_UNREPORTED_007,고객0055,Cashback_User,50s,완주,2025-01-15,True
CUST_UNREPORTED_008,고객0056,Cashback_User,20s,전주,2025-01-15,True
CUST_UNREPORTED_009,고객0057,Cashback_User,30s,군산,2025-01-15,True
CUST_UNREPORTED_010,고객0058,Cashback_User,40s,익산,2025-01-15,True
CUST_UNREPORTED_011,고객0059,Cashback_User,50s,완주,2025-01-15,True
CUST_UNREPORTED_012,고객0060,Cashback_User,20s,전주,2025-01-15,True
CUST_UNREPORTED_013,고객0061,Cashback_User,30s,군산,2025-01-15,True
CUST_UNREPORTED_014,고객0062,Cashback_User,40s,익산,2025-01-15,True
CUST_UNREPORTED_015,고객0063,Cashback_User,50s,완주,2025-01-15,True
CUST_UNREPORTED_016,고객0064,Cashback_User,20s,전주,2025-01-15,True
CUST_UNREPORTED_017,고객0065,Cashback_User,30s,군산,2025-01-15,True
CUST_UNREPORTED_018,고객0066,Cashback_User,40s,익산,2025-01-15,True
CUST_UNREPORTED_019,고객0067,Cashback_User,50s,완주,2025-01-15,True
CUST_UNREPORTED_020,고객0068,Cashback_User,20s,전주,2025-01-15,True
CUST_UNREPORTED_021,고객0069,Cashback_User,30s,군산,2025-01-15,True
CUST_UNREPORTED_022,고객0070,Cashback_User,40s,익산,2025-01-15,True
CUST_UNREPORTED_023,고객0071,Cashback_User,50s,완주,2025-01-15,True
CUST_UNREPORTED_024,고객0072,Cashback_User,20s,전주,2025-01-15,True
CUST_UNREPORTED_025,고객0073,Cashback_User,30s,군산,2025-01-15,True
